Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1110,0,140.0,158.6588579279317,77.5855000001684,406.91509999942355,411702.690990991,9.346377213453657,0.0,140,150,170,210,250,280,330,340,400,410,410
POST,/api/customer/owners,292,0,48,33.787922602791134,2.421199999844248,136.5799999994124,146.17465753424656,2.458686618313935,0.0,48,52,53,54,58,68,110,130,140,140,140
GET,/api/customer/owners/[id],873,0,4,8.192687285220709,2.1077000001241686,123.73810000008234,310.5589919816724,7.350799375986524,0.0,4,5,6,7,10,26,82,96,120,120,120
GET,/api/vet/vets,562,0,5,5.399204804273454,2.9064000000289525,26.19830000003276,653.0,4.732129724289148,0.0,5,5,6,6,8,9,11,16,26,26,26
,Aggregated,2837,0,9,69.14486246035202,2.1077000001241686,406.91509999942355,161322.09164610505,23.887992932043264,0.0,9,110,130,140,170,240,280,310,400,410,410
