Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1080,0,310.0,368.88863472222846,124.7975999940536,1627.9930000018794,612248.8916666667,9.099832506852042,0.0,310,390,440,480,660,850,1000,1100,1500,1600,1600
POST,/api/customer/owners,280,0,48,42.82100571425482,2.9558999958680943,272.29999999690335,146.36785714285713,2.3592158351097887,0.0,48,53,57,59,77,120,150,180,270,270,270
GET,/api/customer/owners/[id],824,0,5,17.481646480510147,2.2380000009434298,549.4053000002168,315.873786407767,6.9428351718945205,0.0,5,7,10,12,45,87,120,200,550,550,550
GET,/api/vet/vets,495,0,4,4.874025858809931,2.573199999460485,21.362899999076035,653.0,4.170756565640519,0.0,4,5,5,5,6,8,14,20,21,21,21
,Aggregated,2679,0,39,159.46514617396394,2.2380000009434298,1627.9930000018794,247052.3706606943,22.57264007949687,0.0,39,200,250,310,440,580,850,1000,1400,1600,1600
