Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3842,3819,3,554.4788557782394,1.133099999606202,10491.393100000096,4594.001561686621,32.36552590323277,32.171770802823,3,4,5,5,8,10000,10000,10000,10000,10000,10000
POST,/api/customer/owners,954,943,51,546.5159283019118,1.7125999993368168,10507.208799999717,55.0524109014675,8.03662459960543,7.943959116800755,51,53,54,55,61,130,10000,10000,11000,11000,11000
GET,/api/customer/owners/[id],2929,2903,3,563.9064210993536,1.1340999999447376,10490.880299999844,151.01229088426084,24.674290830444765,24.455263325633716,3,4,5,5,8,10000,10000,10000,10000,10000,10000
GET,/api/vet/vets,1913,1799,3,4.399605018297201,1.097700000173063,54.55869999968854,169.63042341871406,16.115369873212984,15.155018505964538,3,4,4,5,6,7,31,39,53,55,55
,Aggregated,9638,9464,3,447.37313875285776,1.097700000173063,10507.208799999717,1916.3199833990454,81.19181120649596,79.726011751222,3,4,5,7,50,60,10000,10000,10000,11000,11000
