Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,770,0,1700.0,1729.695315454531,148.36819999982254,4951.118099999803,686691.9103896103,6.489810770232888,0.0,1700,2300,2800,3100,3700,4100,4600,4800,5000,5000,5000
POST,/api/customer/owners,209,0,79,646.775316746417,3.29650000003312,3021.4700000005905,145.68421052631578,1.7615200662060697,0.0,79,840,1200,1300,2200,2400,2700,2900,3000,3000,3000
GET,/api/customer/owners/[id],600,0,130.0,615.8746953333437,2.4503000004187925,2911.3877999998294,312.93,5.056995405376277,0.0,130,780,1100,1300,1900,2300,2600,2700,2900,2900,2900
GET,/api/vet/vets,383,0,4,5.349107832919065,2.9137000001355773,27.155999999195046,653.0,3.22804873376519,0.0,4,5,5,5,7,12,19,21,27,27,27
,Aggregated,1962,0,330.0,937.1126195718671,2.4503000004187925,4951.118099999803,269735.5127420999,16.536374975580426,0.0,330,1000,1700,2100,2800,3500,4100,4500,4900,5000,5000
