Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1162,0,170.0,201.98049053354706,91.87409999867668,649.9691999997594,453099.94922547333,9.788529508429857,0.0,170,210,250,270,310,380,480,550,650,650,650
POST,/api/customer/owners,274,0,48,35.745381751791555,2.7725999971153215,155.41680000023916,145.43430656934308,2.3081386276332023,0.0,48,52,55,56,63,70,96,130,160,160,160
GET,/api/customer/owners/[id],845,0,4,8.871499881731793,2.431000000797212,111.77329999918584,312.5278106508876,7.118164745803123,0.0,4,6,7,7,13,34,79,93,110,110,110
GET,/api/vet/vets,543,0,5,5.694707550822789,3.311499996925704,32.06710000085877,653.0,4.574157937243901,0.0,5,5,6,6,7,9,17,19,32,32,32
,Aggregated,2824,0,15,90.32726919268156,2.431000000797212,649.9691999997594,186671.62004249293,23.788990819110083,0.0,15,140,160,170,250,300,400,460,620,650,650
