Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1133,0,35,37.9287821713898,19.676999996590894,176.67190000065602,117880.28949691086,9.541062994937054,0.0,35,40,43,45,50,57,100,130,170,180,180
POST,/api/customer/owners,300,0,53,52.73564466687579,4.2824999982258305,74.52990000456339,145.62666666666667,2.526318533522609,0.0,53,55,56,57,60,64,66,68,75,75,75
GET,/api/customer/owners/[id],873,0,6,6.528951660896967,3.40400000277441,37.80639999604318,312.0126002290951,7.351586932550792,0.0,6,7,7,8,9,10,13,21,38,38,38
GET,/api/vet/vets,579,0,10,12.902598100230227,5.418799999461044,281.67289999692,653.0,4.8757947696986355,0.0,10,11,12,13,15,23,37,45,280,280,280
,Aggregated,2885,0,21,24.94432675918327,3.40400000277441,281.67289999692,46534.67244367418,24.29476323070909,0.0,21,32,39,43,52,56,65,97,270,280,280
