Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1121,0,160.0,176.63269313114102,87.6150999993115,387.8512999999657,454512.2328278323,9.445155382542456,0.0,160,170,200,240,270,300,330,350,380,390,390
POST,/api/customer/owners,278,0,49,37.464175539570135,2.714899999773479,159.04610000052344,145.85971223021582,2.342331129658165,0.0,49,54,55,56,63,74,110,120,160,160,160
GET,/api/customer/owners/[id],867,0,4,8.150456286032759,2.2384000003512483,114.6668999999747,309.7566320645905,7.305039889977082,0.0,4,5,7,7,11,26,75,91,110,110,110
GET,/api/vet/vets,539,0,5,5.449011317257638,2.94930000018212,25.845800000752206,653.0,4.541426183042269,0.0,5,5,6,6,8,10,16,18,26,26,26
,Aggregated,2805,0,12,77.86943048128417,2.2384000003512483,387.8512999999657,181878.5340463458,23.633952585219973,0.0,12,130,150,160,200,260,300,330,380,390,390
