Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1956,1912,3,501.1757526074112,1.2057999992975965,10423.297599998477,14727.482106339468,16.462964701458578,16.092632162161966,3,4,5,5,7,3100,10000,10000,10000,10000,10000
POST,/api/customer/owners,503,479,51,542.7212097416508,1.4759999976377003,10483.400100005383,58.37574552683897,4.233574256049931,4.031574689160869,51,53,54,55,60,6600,10000,10000,10000,10000,10000
GET,/api/customer/owners/[id],1483,1429,3,396.9634988537122,1.2666000038734637,10424.069900000177,155.89615643964936,12.481889904019976,12.027390878519586,3,4,5,5,6,23,10000,10000,10000,10000,10000
GET,/api/vet/vets,1023,960,3,3.9790090909641953,1.1875999989570118,43.63730000477517,170.65395894428153,8.610231538646282,8.079982675562492,3,4,4,5,5,6,18,21,42,44,44
,Aggregated,4965,4780,4,371.8138843303647,1.1875999989570118,10483.400100005383,5889.645720040282,41.78866040017477,40.23158040540491,4,4,5,6,49,58,10000,10000,10000,10000,10000
