Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3597,3470,3,743.253100055579,1.0411000039312057,10434.95460000122,13182.260494856826,30.27669665145517,29.20771125397538,3,4,5,5,37,10000,10000,10000,10000,10000,10000
POST,/api/customer/owners,868,825,51,587.180740207234,1.5180999980657361,10460.37449999858,58.474654377880185,7.30613641742093,6.944196479691552,51,53,55,57,64,5500,10000,10000,10000,10000,10000
GET,/api/customer/owners/[id],2728,2603,3,635.3394541422092,1.1108999970019795,10417.437799995241,157.1224340175953,22.962143026180065,21.909992044408618,3,4,5,5,24,8000,10000,10000,10000,10000,10000
GET,/api/vet/vets,1855,1683,3,4.362938760222354,1.157200000307057,45.116900000721216,186.65929919137466,15.613920569488279,14.166160818570766,3,4,5,5,6,8,27,38,44,45,45
,Aggregated,9048,8581,3,544.258793733419,1.0411000039312057,10460.37449999858,5331.811450044209,76.15889666454444,72.22806059664632,3,5,6,7,52,5700,10000,10000,10000,10000,10000
