Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,644,207,8500.0,7549.920257608549,1.9937000033678487,10669.873799997731,411294.13354037266,5.460519850657438,1.7551670948541767,8500,9900,10000,10000,10000,10000,10000,10000,11000,11000,11000
POST,/api/customer/owners,164,15,5900.0,5715.102489024858,2.5290000048698857,10426.998700000695,136.66463414634146,1.3905671669376085,0.12718602136624468,6000,7600,8000,8400,9600,10000,10000,10000,10000,10000,10000
GET,/api/customer/owners/[id],440,37,6300.0,5707.812325681486,2.0656999986385927,10453.028800002357,300.34090909090907,3.730789960076511,0.3137255193700702,6300,7700,8300,8700,9600,10000,10000,10000,10000,10000,10000
GET,/api/vet/vets,312,11,4,5.923162179687306,2.7315999977872707,33.88290000293637,634.8782051282051,2.6454692444178893,0.09326974900191277,4,5,5,6,8,18,25,29,34,34,34
,Aggregated,1560,270,5800.0,5328.660835897368,1.9937000033678487,10669.873799997731,170016.7096153846,13.227346222089448,2.2893483845924045,5800,8100,8900,9400,10000,10000,10000,10000,11000,11000,11000
