Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,598,0,3200.0,3268.060124247484,147.4551999999676,7717.127000000801,712812.1688963211,5.045753942586408,0.0,3200,4400,5000,5200,5900,6400,6900,7200,7700,7700,7700
POST,/api/customer/owners,137,0,1200.0,1425.1306671533043,3.2338000000891043,4877.766300000076,145.53284671532847,1.1559670403584246,0.0,1200,1900,2300,2500,3100,4000,4600,4800,4900,4900,4900
GET,/api/customer/owners/[id],445,0,1200.0,1440.3463687640444,2.2640000006504124,5086.485200000425,309.63820224719103,3.7547834522591166,0.0,1200,1900,2200,2700,3400,4100,4600,4800,5100,5100,5100
GET,/api/vet/vets,303,0,4,5.122064686522941,2.7019000008294825,23.637399999643094,653.0,2.556627833785421,0.0,4,5,5,5,7,11,16,17,24,24,24
,Aggregated,1483,0,1300.0,1882.703287525295,2.2640000006504124,7717.127000000801,287671.7889413351,12.51313226898937,0.0,1300,2500,3200,3700,5000,5700,6400,6800,7700,7700,7700
