Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,2087,2061,3,318.5347096310905,1.174700002593454,10416.771900003369,8386.484906564447,17.565539678480988,17.346706889003027,3,4,4,5,6,18,10000,10000,10000,10000,10000
POST,/api/customer/owners,537,534,50,289.2721443204751,2.1675999960280024,10447.491099999752,54.46182495344507,4.519738767294821,4.494488830047364,50,52,54,54,59,64,10000,10000,10000,10000,10000
GET,/api/customer/owners/[id],1594,1577,3,288.63248870767626,1.2137000012444332,10417.64119999425,151.34818067754077,13.416133324148872,13.273050346413282,3,4,4,5,6,19,10000,10000,10000,10000,10000
GET,/api/vet/vets,998,970,3,3.76902434870275,1.1856999990413897,26.415100001031533,153.42084168336675,8.399812457654061,8.164146376677795,3,4,4,4,5,6,19,22,26,26,26
,Aggregated,5216,5142,3,246.15850341261867,1.174700002593454,10447.491099999752,3436.7720475460123,43.90122422757874,43.27839244214147,3,4,5,5,48,54,9400,10000,10000,10000,10000
