Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,2145,2092,4,378.1240036829234,1.1606999978539534,10444.902100003674,15804.651282051282,18.05630563301181,17.610159153501495,4,4,5,5,7,29,10000,10000,10000,10000,10000
POST,/api/customer/owners,518,501,51,384.26469671807683,1.9547000047168694,10454.716699998244,57.054054054054056,4.360450497855532,4.2173469100880725,51,53,54,55,59,69,10000,10000,10000,10000,10000
GET,/api/customer/owners/[id],1515,1465,4,252.83744310234115,1.1801000000559725,10405.086400001892,155.03828382838284,12.753055027511838,12.332162122313427,4,4,5,5,6,21,7100,10000,10000,10000,10000
GET,/api/vet/vets,1043,989,4,4.131485810256135,1.320899995334912,25.867299998935778,165.6116970278044,8.779826002438842,8.32526166482456,4,4,5,5,6,7,18,23,26,26,26
,Aggregated,5221,5047,4,267.66576648151306,1.1606999978539534,10454.716699998244,6576.929132350125,43.94963716081802,42.48492985072755,4,5,5,6,49,55,8200,10000,10000,10000,10000
