Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1061,0,3300.0,3447.190308671026,685.0246000030893,9534.301300001971,574043.6371347785,8.943864323046917,0.0,3300,3800,4100,4300,4900,5400,6200,6400,9100,9500,9500
POST,/api/customer/owners,281,0,2300.0,2422.8783434161264,5.343299999367446,5734.237699994992,146.0035587188612,2.3687331524751962,0.0,2300,2700,3100,3300,3600,3900,5100,5500,5700,5700,5700
GET,/api/customer/owners/[id],803,0,2300.0,2357.0089632626405,6.913400000485126,5483.690000000934,311.15317559153175,6.769013243550116,0.0,2300,2700,3000,3200,3600,4100,4900,5100,5500,5500,5500
GET,/api/vet/vets,538,0,4,5.709078438610547,2.9351000048336573,28.938299998117145,653.0,4.535154576625109,0.0,4,5,6,6,8,14,21,23,29,29,29
,Aggregated,2683,0,2500.0,2323.5361213938777,2.9351000048336573,9534.301300001971,227246.5508758852,22.616765295697338,0.0,2500,3000,3400,3600,4300,4900,5500,6000,6800,9500,9500
