Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,2614,1,1900.0,2121.592275401624,54.70380000042496,10420.533500000602,303307.4808722265,22.046173815139806,0.008433884397528617,1900,2500,2900,3100,3900,4500,5200,5300,9400,10000,10000
POST,/api/customer/owners,647,0,1400.0,1656.411729521041,2.9705999986617826,5614.317200001096,146.2272024729521,5.4567232052010155,0.0,1400,2000,2400,2600,3100,3800,4600,4800,5600,5600,5600
GET,/api/customer/owners/[id],1883,0,1400.0,1665.6880719597443,2.2518999976455234,5218.599400002859,306.77854487519915,15.881004320546387,0.0,1400,2100,2400,2600,3100,3800,4500,4700,5000,5200,5200
GET,/api/vet/vets,1391,0,5,7.336395111385528,3.132700003334321,79.11919999605743,653.0,11.731533196962307,0.0,5,6,7,7,10,14,42,52,77,79,79
,Aggregated,6535,1,1300.0,1494.1447837796607,2.2518999976455234,10420.533500000602,121564.85860749808,55.11543453784952,0.008433884397528617,1300,1900,2400,2600,3300,4000,4700,5100,5900,10000,10000
