Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3748,3689,3,608.7146060831492,1.1086000013165176,10523.71249999851,7381.819103521879,31.528478652750447,31.032165888472893,3,3,4,4,8,10000,10000,10000,11000,11000,11000
POST,/api/customer/owners,919,891,50,571.260006528916,1.1424999975133687,10524.928699996963,56.81936887921654,7.730702209679205,7.495163948666128,50,52,54,54,62,5500,11000,11000,11000,11000,11000
GET,/api/customer/owners/[id],2894,2821,3,649.4678537663773,1.1455999992904253,10534.714599998551,154.53904630269523,24.3445616918516,23.730479797067506,3,4,4,5,10,10000,10000,10000,11000,11000,11000
GET,/api/vet/vets,1827,1691,3,3.875699781084861,1.1472999976831488,42.33669999666745,178.1871921182266,15.368871531103272,14.224828549039756,3,3,4,4,5,6,27,36,42,42,42
,Aggregated,9388,9092,3,499.9031915104041,1.1086000013165176,10534.714599998551,3034.944503621645,78.97261408538452,76.48263818324628,3,4,5,6,50,2500,10000,10000,11000,11000,11000
