Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1130,0,200.0,243.05559530973855,99.06190000037896,704.5306999998502,494917.5415929204,9.51073532211304,0.0,200,270,310,330,390,450,580,620,640,700,700
POST,/api/customer/owners,265,0,49,40.31488037737359,2.580899999884423,160.48859999955312,146.65660377358492,2.230393681734474,0.0,49,54,56,60,66,96,140,140,160,160,160
GET,/api/customer/owners/[id],822,0,4,11.748172871049837,2.076600000691542,264.4177000001946,314.8175182481752,6.918428703342407,0.0,4,5,7,9,21,65,96,110,260,260,260
GET,/api/vet/vets,565,0,5,5.33314460178423,2.7448000000731554,22.98590000009426,653.0,4.75536766105652,0.0,5,5,5,6,7,10,15,17,23,23,23
,Aggregated,2782,0,17,107.11951502516884,2.076600000691542,704.5306999998502,201266.50287562906,23.414925368246443,0.0,17,150,180,200,310,380,450,520,640,700,700
