Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3723,3630,3,646.1322376040125,1.1223000037716702,10581.293199997162,10552.817351598174,31.330350613375312,30.547722999342568,3,4,4,5,12,10000,10000,10000,10000,11000,11000
POST,/api/customer/owners,919,885,51,568.1768830250562,1.3638999953400344,10513.442100003886,57.38411316648531,7.733707282753669,7.447585359343849,51,53,54,55,64,4800,10000,10000,11000,11000,11000
GET,/api/customer/owners/[id],2851,2752,3,627.8566022798614,1.1020000019925646,10459.866000004695,154.76920378814452,23.992164812982278,23.15904509481839,3,4,4,5,11,10000,10000,10000,10000,10000,10000
GET,/api/vet/vets,1908,1756,3,4.192799895139256,1.0307999982615001,46.515800000634044,179.9475890985325,16.05648911370403,14.77735580904836,3,4,4,5,6,7,30,37,43,47,47
,Aggregated,9401,9023,3,502.6831093925732,1.0307999982615001,10581.293199997162,4268.212105095203,79.11271182281529,75.93170926255317,3,4,5,6,51,3100,10000,10000,10000,11000,11000
