Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1117,0,190.0,231.44894153986,97.56059999926947,609.3694000010146,492183.0752014324,9.405868906760347,0.0,190,250,290,310,370,440,530,550,610,610,610
POST,/api/customer/owners,283,0,49,38.501227914898486,2.9951999968034215,198.05669999914244,145.5547703180212,2.383044673780822,0.0,49,53,56,58,65,86,140,150,200,200,200
GET,/api/customer/owners/[id],853,0,4,10.334851699712706,2.314799996383954,133.62619999679737,313.35638921453693,7.182816631572583,0.0,4,6,7,8,17,49,87,100,130,130,130
GET,/api/vet/vets,547,0,5,5.8251850089134685,2.9929999946034513,27.750000001105946,653.0,4.6060969489685855,0.0,5,5,6,6,8,10,18,20,28,28,28
,Aggregated,2800,0,16,100.50939996416803,2.314799996383954,609.3694000010146,196583.6325,23.57782716108234,0.0,16,150,180,190,290,350,440,510,600,610,610
