Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1139,0,96,107.99739543454515,54.967199997918215,454.91699999547563,287572.49604916596,9.598110209215603,0.0,96,100,110,110,170,210,290,390,450,450,450
POST,/api/customer/owners,283,0,48,34.77462614852423,2.823700000590179,114.81780000030994,146.74911660777386,2.3847806753362737,0.0,48,51,53,54,59,62,66,84,110,110,110
GET,/api/customer/owners/[id],853,0,4,6.202288042319049,2.515200001653284,171.3448000009521,311.10550996483,7.188049173363397,0.0,4,5,6,6,8,11,21,63,170,170,170
GET,/api/vet/vets,594,0,5,5.905081312883444,3.1203000035020523,30.645700004242826,653.0,5.005511382154581,0.0,5,6,6,7,8,10,13,16,31,31,31
,Aggregated,2869,0,9,49.37205388634723,2.515200001653284,454.91699999547563,114409.1523178808,24.176451440069854,0.0,9,74,92,96,110,120,210,250,450,450,450
