Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1156,0,140.0,172.3135977509002,81.1870000034105,514.631099998951,411512.0795847751,9.729740791989311,0.0,140,160,210,230,270,320,400,460,500,510,510
POST,/api/customer/owners,270,0,49,37.2335381480365,3.171299998939503,160.6178000001819,146.02592592592592,2.272517313007884,0.0,49,52,54,55,62,76,100,130,160,160,160
GET,/api/customer/owners/[id],860,0,4,7.672401046545209,2.3585000017192215,103.89470000518486,311.66279069767444,7.238388478469556,0.0,4,5,6,7,11,26,60,82,100,100,100
GET,/api/vet/vets,545,0,5,5.795239633172986,3.2174999942071736,20.904900004097726,653.0,4.587118279960358,0.0,5,6,6,6,8,10,15,16,21,21,21
,Aggregated,2831,0,13,77.35932348997478,2.3585000017192215,514.631099998951,168269.62416107382,23.82776486342711,0.0,13,120,140,150,210,260,320,380,490,510,510
