Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,993,0,550.0,804.7487376636626,149.1643999979715,3010.7864000019617,689799.8640483384,8.362727942473711,0.0,550,1000,1200,1300,1700,2100,2300,2400,3000,3000,3000
POST,/api/customer/owners,242,0,50,132.8173752064821,3.269599998020567,1186.59050000133,146.3388429752066,2.038046487491076,0.0,50,64,110,150,440,770,910,1100,1200,1200,1200
GET,/api/customer/owners/[id],744,0,10,121.78341182806757,2.6717000000644475,1439.1752000010456,316.22715053763443,6.265729697080002,0.0,10,51,98,150,470,650,890,1000,1400,1400,1400
GET,/api/vet/vets,490,0,4,5.270824897844268,2.756100002443418,28.34189999703085,653.0,4.126623053184409,0.0,4,5,5,6,7,15,19,22,28,28,28
,Aggregated,2469,0,100.0,374.42157306602417,2.6717000000644475,3010.7864000019617,277667.8501417578,20.7931271802292,0.0,100,330,490,690,1200,1600,2100,2200,2800,3000,3000
