Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3803,3732,3,460.2268665001411,1.1346999963279814,10451.19859999977,8116.844596371286,32.02631633364071,31.42840193456406,3,4,4,5,7,1100,10000,10000,10000,10000,10000
POST,/api/customer/owners,910,888,51,450.0489086811725,1.1926000006496906,10499.475699994946,56.16153846153846,7.663409903658439,7.478140653240323,51,53,54,55,61,82,10000,10000,10000,10000,10000
GET,/api/customer/owners/[id],2875,2791,3,441.8586508173616,1.1525000008987263,10450.682400005462,154.36104347826088,24.211322497821993,23.50393081440737,3,4,4,5,7,810,10000,10000,10000,10000,10000
GET,/api/vet/vets,1911,1760,3,3.980887441284646,1.1717000015778467,44.316499996057246,179.61433804290948,16.09316079768272,14.821540033449288,3,4,4,5,5,7,12,35,40,44,44
,Aggregated,9499,9171,3,361.90529289400166,1.1346999963279814,10499.475699994946,3337.8774607853456,79.99420953280386,77.23201343566105,3,4,5,6,49,59,10000,10000,10000,10000,10000
