Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3794,3710,3,546.8090815234536,1.141199994890485,10435.476800004835,9003.914602003162,31.931882073553606,31.22490313465574,3,4,5,5,8,5800,10000,10000,10000,10000,10000
POST,/api/customer/owners,903,873,51,451.25353576974237,1.5361000041593798,10477.24730000482,57.01771871539314,7.600023593152057,7.347531114974248,51,53,55,55,62,630,10000,10000,10000,10000,10000
GET,/api/customer/owners/[id],2873,2784,3,525.636972989815,1.1059000025852583,10431.881900003646,154.61260006961365,24.180362993494864,23.431301974900695,3,4,4,5,8,4600,10000,10000,10000,10000,10000
GET,/api/vet/vets,1865,1743,3,4.384675764142606,1.113999998779036,65.37250000110362,172.6235924932976,15.696615726720474,14.669812982130715,3,4,4,5,6,7,31,38,65,65,65
,Aggregated,9435,9110,3,423.99661280338506,1.1059000025852583,10477.24730000482,3707.311499735029,79.408884386921,76.6735492066614,3,4,5,6,51,340,10000,10000,10000,10000,10000
